"lhs","op","rhs","est","se","ci.lower","ci.upper","rhat","ess_bulk","ess_tail"
"h","~1","",2.973683703975,0.0493004269405362,2.8769491825,3.0679041725,0.999899815624846,2070.32317003571,2233.82886642166
"i","~1","",3.0361592899,0.045123442070121,2.9458198425,3.12251156,1.00037005254428,1812.33883135531,2070.37020895108
"j","~1","",3.006517237475,0.0441674989447704,2.91973638,3.09242124,0.999828498109689,1668.66642883128,2204.7806062094
"k","~1","",3.02153396325,0.0432417919964758,2.93770757,3.1072383625,0.999951981229783,1862.06266736509,1917.38490884013
"l","~1","",3.06117024175,0.0452959580610339,2.972086475,3.1503190275,1.00043495131284,2049.34274574937,1781.29774277647
"a","~~","a",0.217995289968517,0.0365759620983529,0.14687000078282,0.292659197299804,1.00596026518386,571.703375414816,1014.419448953
"b","~~","b",0.64518611641802,0.0545478346392209,0.546224850431508,0.758343920952843,1.00085784433316,2869.54652549614,2704.13723875168
"c","~~","c",0.576463714191213,0.0445666353171069,0.495229304925853,0.670912976551772,1.00030702245678,3737.56003666909,2710.88301068418
"d","~~","d",0.706851607654648,0.0542891188332469,0.607581282255291,0.824596288531992,1.00034355771837,2721.80775231816,2645.47550376936
"e","~~","e",0.383148160861018,0.0459922524618408,0.296965534964323,0.477939708405441,0.999907680050234,1224.10501227346,1912.46535200107
"f","~~","f",0.5033776877611,0.0503430553775683,0.409973852646701,0.610170801128247,1.00219952806696,2283.34704178991,2506.0984007729
"g","~~","g",0.586813488529993,0.0544088771240705,0.489715605175648,0.698019642195227,1.00072172506627,2180.66808944152,2663.49536678019
"h","~~","h",0.66232041701511,0.0526097919041535,0.565394257995963,0.772354524771956,1.0006398296935,3196.6971792939,2813.64694311188
"i","~~","i",0.440284105488547,0.0452278271484443,0.357660589965585,0.531216014213594,1.00013237914471,1693.95194450884,1631.85547037704
"j","~~","j",0.419544336391822,0.044840519384486,0.336476980737889,0.512370788742045,1.00016555905105,1780.57107763489,2609.46332552739
"k","~~","k",0.516405119188147,0.0442923806147946,0.435226605946517,0.608678179563063,1.00017030911364,3508.43921988299,2811.26598523998
"l","~~","l",0.55722120354811,0.0523830319324603,0.46035949998964,0.665938436081163,1.00152554621064,1964.77342137142,3067.20665025749
"F1","~~","F1",1,0,1,1,NA,NA,NA
"F2","~~","F2",1,0,1,1,NA,NA,NA
"F3","~~","F3",1,0,1,1,NA,NA,NA
"G1","~~","G1",0.0308304214555892,0.0394142834334813,1.28327067243889e-05,0.138982984756144,1.19805763532983,3.88975755821022,54.8361176598853
"F1","~","cov",0.8342162572225,0.228359957425626,0.41105615225,1.1281779,1.24816053081786,7.11491156149019,14.2453566015292
"F2","~","cov",0.39822858833625,0.248485035781493,0.12922409525,0.87773627625,1.42655489228312,2.11324772180808,13.136769964809
"F3","~","cov",0.6942997472625,0.247773049529223,0.24905803325,1.082416465,1.51661132415512,1.90015011559171,13.8190331210239
"G1","~","cov",0.1287123399803,0.218244061284972,-0.12589139225,0.515219925,1.26393997468852,6.87868994518607,14.7415791097465
"rho_G1",":=","",0.0285650425585332,0.0351736815566968,1.2832542175e-05,0.12202375675,1.19805763532983,3.88975755821022,54.8361176598853
